smiles,chemprop_0,chemprop_1,chemprop_2,chemprop_3,chemprop_4,chemprop_5,chemprop_6,chemprop_7,chemprop_8,chemprop_9,chemprop_10,chemprop_11,chemprop_12,chemprop_13,chemprop_14,chemprop_15,chemprop_16,chemprop_17,chemprop_18,chemprop_19,chemprop_20,chemprop_21,chemprop_22,chemprop_23,chemprop_24,chemprop_25,chemprop_26,chemprop_27,chemprop_28,chemprop_29,chemprop_30,chemprop_31,chemprop_32,chemprop_33,chemprop_34,chemprop_35,chemprop_36,chemprop_37,chemprop_38,chemprop_39,chemprop_40,chemprop_41,chemprop_42,chemprop_43,chemprop_44,chemprop_45,chemprop_46,chemprop_47,chemprop_48,chemprop_49
C1CC(=O)OC1,0.0,0.0,2.0454678535461426,0.3643546402454376,0.0,4.0966267585754395,0.0,0.8438817262649536,1.291213035583496,1.2855002880096436,1.095810055732727,1.5929510593414307,0.0,2.015767812728882,1.309475302696228,0.0,1.8231302499771118,0.0,1.6555238962173462,1.0977576971054077,2.1163063049316406,0.8256756663322449,3.400367259979248,1.390997290611267,0.8738929033279419,1.3527354001998901,0.7261422872543335,0.0,0.0,0.14045165479183197,0.0,0.315497487783432,1.3460348844528198,0.0,0.0,0.8951372504234314,0.0,0.6787629723548889,0.0,0.0,2.225067615509033,0.0,1.3924669027328491,0.0,3.090355157852173,0.0,1.8006033897399902,0.0,1.4062888622283936,1.1117980480194092
CS(=O)C,0.1509496420621872,3.1794064044952393,0.9589449167251587,0.5710082650184631,0.9675920605659485,4.025848865509033,0.0,1.074416160583496,1.6330474615097046,0.0,3.1462488174438477,1.7682640552520752,0.0,0.6810920238494873,0.0,0.0,2.7178308963775635,0.0,0.02687861956655979,0.004730605985969305,0.4112483561038971,0.0,2.8675856590270996,0.42751407623291016,0.584702730178833,0.9530220627784729,0.0,1.6504290103912354,0.2821095585823059,0.0,0.0,0.8584275841712952,1.3293695449829102,0.0,0.2413216382265091,0.6148983836174011,0.0,0.48918503522872925,0.14191590249538422,0.0,1.753098487854004,0.26765769720077515,0.3998108506202698,0.0,3.0931196212768555,0.0,3.3045670986175537,0.0,1.9851102828979492,0.0
C(=O)O,0.0,2.2625420093536377,0.0,2.0756356716156006,0.9367976188659668,3.745771646499634,0.0,0.7278319597244263,0.3469967246055603,1.1434314250946045,3.4928295612335205,0.879449725151062,0.0,0.5285850167274475,0.0,0.0,5.2355451583862305,0.0,1.5939366817474365,0.0,0.3291058838367462,1.7813594341278076,1.2465782165527344,0.0,0.6244769096374512,0.25997886061668396,0.0,2.3635339736938477,1.9097331762313843,0.0,0.0,0.8941636085510254,2.383798837661743,0.0,2.085902214050293,2.137455463409424,0.0,0.21919772028923035,0.0,0.0,0.9620618224143982,0.681909441947937,3.0438570976257324,0.0,2.7996251583099365,0.0,3.0524747371673584,0.0,1.538730502128601,1.741735577583313
I[Pb]I,1.0096415281295776,0.8549171090126038,1.2779138088226318,0.7739213109016418,0.0,6.792078971862793,0.0,1.280853509902954,0.7933540940284729,0.0,2.9860007762908936,2.1026105880737305,0.0,1.5246154069900513,0.0,0.0,3.0125200748443604,0.0,0.13584290444850922,0.0,1.4650739431381226,2.147651433944702,3.420422077178955,0.9696238040924072,0.1669849008321762,2.7191929817199707,0.0,2.0380821228027344,0.05771366506814957,0.0,0.0,0.2916370928287506,3.440587043762207,0.0,0.8366203904151917,1.5704143047332764,0.0,0.49581411480903625,0.0,0.0,2.6369683742523193,4.200501441955566,2.4430201053619385,0.0,2.959674119949341,0.0,2.7923026084899902,0.0,1.585249662399292,0.0
CC[NH3+].[I-],0.0,0.28275465965270996,0.4162195324897766,0.16586552560329437,0.0,2.7178051471710205,0.0,1.8021491765975952,0.4640335142612457,0.0,1.3663619756698608,1.292080044746399,0.0,1.0188231468200684,0.0,0.0,2.03804874420166,0.0,0.5638816356658936,0.5008960962295532,0.6438394784927368,0.13201743364334106,1.0419752597808838,0.35331934690475464,0.5068622827529907,0.7585963010787964,0.0,1.1862924098968506,0.0,1.4005560874938965,0.0,0.40463611483573914,1.3334667682647705,0.0,0.0,0.48363327980041504,0.0,0.6658791303634644,0.4196731746196747,0.0,1.43450927734375,1.472388505935669,0.32201826572418213,0.0,1.9436856508255005,0.0,1.880023717880249,0.0,1.183577299118042,0.0
C[NH3+].[I-],0.0,0.0,0.41903960704803467,0.0,0.0,2.7265286445617676,0.0,1.634001612663269,0.0,0.0,1.0022367238998413,1.4327433109283447,0.0,0.806743323802948,0.0,0.0,1.5399558544158936,0.0,0.24746328592300415,0.2671152651309967,0.2818683385848999,0.14021232724189758,0.51896733045578,0.8807893991470337,0.579294741153717,1.0725489854812622,0.07781913876533508,0.5421649217605591,0.0,1.313913345336914,0.0,0.682761013507843,1.3109428882598877,0.0,0.0,0.4602911174297333,0.0,0.7801207304000854,0.5686706304550171,0.0,1.3554306030273438,1.71013343334198,0.46264418959617615,0.0,1.4412307739257812,0.0,1.7332696914672852,0.0,0.6971648335456848,0.01118529587984085
C1=CC=C(C=C1)CC[NH3+].[I-],0.0,0.0,0.9152498841285706,0.0,0.0,3.251220464706421,2.369978427886963,3.186488151550293,0.0,0.6127412915229797,1.2838584184646606,0.3384115695953369,0.0,0.0,1.5378869771957397,0.0,2.3569176197052,0.0,0.6867304444313049,0.6899295449256897,0.0,0.0,0.0,3.3733856678009033,1.2629517316818237,1.1791402101516724,1.0997241735458374,0.0,0.0,1.7253283262252808,0.0,1.3475186824798584,2.433217763900757,0.0,0.0,1.193099021911621,0.0,4.803173542022705,2.716963529586792,0.0,1.8364776372909546,0.0,1.7965878248214722,0.0,0.9772686958312988,0.34556424617767334,0.0,0.0,0.0,1.5924466848373413
CC(=[NH2+])N.[I-],0.0,0.07951603829860687,1.1551060676574707,0.7020895481109619,0.0,1.2974379062652588,0.0,0.8551278710365295,0.43119335174560547,0.4662589728832245,1.5744123458862305,0.08132851868867874,0.0,3.3413283824920654,0.4094257652759552,4.453813552856445,4.271647930145264,0.0,2.413883924484253,2.5415477752685547,2.694430351257324,1.6740666627883911,1.0067942142486572,0.0,2.0816142559051514,0.010051362216472626,0.8298506736755371,2.6286323070526123,0.9174175262451172,0.7328812479972839,0.0,0.0,1.5741349458694458,0.0,2.610802412033081,1.6962740421295166,0.0,1.2604954242706299,0.0,0.0,1.6748806238174438,2.8700783252716064,3.0636444091796875,0.0,2.815460681915283,0.0,1.4444565773010254,0.0,0.5909838080406189,1.3905736207962036
CCCC[NH3+].[I-],0.7522705793380737,1.9578559398651123,0.33603185415267944,1.4037727117538452,0.8667276501655579,2.762610912322998,0.0,2.079063892364502,1.4486459493637085,0.0,1.8505369424819946,1.0564792156219482,0.0,1.007692813873291,0.0,0.0,2.6161446571350098,0.0,1.1297402381896973,0.5836363434791565,0.9748280048370361,0.41300442814826965,2.117682933807373,0.1528170108795166,0.6374205946922302,0.70381098985672,0.0,1.6955909729003906,0.24509893357753754,1.8718492984771729,0.0,0.6998034715652466,1.0344252586364746,0.0,0.44701528549194336,0.06650866568088531,0.0,0.03724696487188339,0.33461517095565796,0.0,1.883476734161377,0.9842906594276428,0.0,0.0,2.773609161376953,0.0,1.977085828781128,0.0,2.4158151149749756,0.0
C(=[NH2+])(N)N.[I-],1.5191360712051392,0.0,2.0977461338043213,0.6662179827690125,0.0,0.0,0.0,1.389183521270752,0.6079443693161011,2.91930890083313,1.7687596082687378,0.3767485022544861,0.0,4.624234676361084,1.4320762157440186,7.714350700378418,6.119513988494873,0.0,4.574054718017578,2.062519073486328,4.137144088745117,5.28148078918457,0.8191561102867126,0.0,3.007697343826294,0.0,2.3025853633880615,3.294950008392334,6.587368965148926,0.8643301129341125,0.0,0.0,0.7592884302139282,0.0,3.2919750213623047,3.1528267860412598,0.0,1.094629168510437,0.0,0.0,2.5349652767181396,6.380488872528076,4.17366361618042,0.0,2.7734463214874268,0.0,0.7821701169013977,0.0,0.742867648601532,3.0631468296051025
