,name,_rxn_organic-inchikey,_rxn_M_acid,_rxn_M_inorganic,_rxn_M_organic,_solv_GBL,_solv_DMSO,_solv_DMF,_stoich_mmol_org,_stoich_mmol_inorg,_stoich_mmol_acid,_stoich_mmol_solv,_stoich_org/solv,_stoich_inorg/solv,_stoich_acid/solv,_stoich_org+inorg/solv,_stoich_org+inorg+acid/solv,_stoich_org/liq,_stoich_inorg/liq,_stoich_org+inorg/liq,_stoich_org/inorg,_stoich_acid/inorg,_rxn_temperature_c,_rxn_reactiontime_s,_feat_organic_0_avgpol_std,_feat_organic_0_refractivity_std,_feat_organic_0_maximalprojectionarea_std,_feat_organic_0_maximalprojectionradius_std,_feat_organic_0_maximalprojectionsize_std,_feat_organic_0_minimalprojectionarea_std,_feat_organic_0_minimalprojectionradius_std,_feat_organic_0_minimalprojectionsize_std,_feat_organic_0_molpol_std,_feat_organic_0_asavdwp_std,_feat_organic_0_asa_std,_feat_organic_0_asah_std,_feat_organic_0_asap_std,_feat_organic_0_asa-_std,_feat_organic_0_asa+_std,_feat_organic_0_protpsa_std,_feat_organic_0_hacceptorcount_std,_feat_organic_0_hdonorcount_std,_feat_organic_0_rotatablebondcount_std,_feat_organic_0_organoammoniummolecularweight_std,_feat_organic_0_atomcount_n_std,_feat_organic_0_bondcount_std,_feat_organic_0_chainatomcount_std,_feat_organic_0_ringatomcount_std,_raw_modelname,_feat_primaryAmine,_feat_secondaryAmine,_rxn_plateEdgeQ,_feat_maxproj_per_N,_feat_vdw_per_N,_raw_RelativeHumidity,_out_crystalscore
8578,2020-12-15T14_02_27.850642+00_00_LBL_B2,ZKRCWINLLKOVCL-UHFFFAOYSA-N,2.279383011,1.170662565,1.39474612,0,0,1,0.69737306,0.5853312820000001,1.139691506,3.888227046,0.17935502524664038,0.15053937825008382,0.2931134145503292,0.3298944034967242,0.6230078180470533,0.1387001505270207,0.11641622193087588,0.2551163724578966,1.1914160090968793,1.94708798427076,105,21600,17.0,55.38,52.18,5.82,5.47,25.39,3.37,11.47,17.25,234.04,322.3,273.88,48.42,126.77,195.52,27.64,0,1,2,156.63,1,21,4,6,escalate_MathematicaUniformRandom_1.2,1,0,0,52.18,234.04,-1,1.0
8637,2020-12-15T14_02_27.850642+00_00_LBL_H9,ZKRCWINLLKOVCL-UHFFFAOYSA-N,0.0,0.08194638,1.414039801,0,0,1,0.7070199,0.04097319,0.0,4.949595906,0.14284396411895692,0.008278087904172435,0.0,0.15112205202312934,0.15112205202312934,0.14284396411895692,0.008278087904172435,0.15112205202312934,17.255671330448028,0.0,105,21600,17.0,55.38,52.18,5.82,5.47,25.39,3.37,11.47,17.25,234.04,322.3,273.88,48.42,126.77,195.52,27.64,0,1,2,156.63,1,21,4,6,escalate_MathematicaUniformRandom_1.2,1,0,1,52.18,234.04,-1,1.0
8597,2020-12-15T14_02_27.850642+00_00_LBL_H4,ZKRCWINLLKOVCL-UHFFFAOYSA-N,11.82098631,0.109261839,1.250851168,0,0,1,0.625425584,0.05463092,5.910493157,2.225998017,0.28096412450667524,0.024542214136213224,2.6552104322921335,0.30550633864288845,2.9607167709350217,0.07686674398400818,0.006714309501689383,0.08358105348569755,11.44819790697283,108.18952265493608,105,21600,17.0,55.38,52.18,5.82,5.47,25.39,3.37,11.47,17.25,234.04,322.3,273.88,48.42,126.77,195.52,27.64,0,1,2,156.63,1,21,4,6,escalate_MathematicaUniformRandom_1.2,1,0,1,52.18,234.04,-1,4.0
8572,2020-12-15T14_02_27.850642+00_00_LBL_F1,ZKRCWINLLKOVCL-UHFFFAOYSA-N,8.126616039,0.08993065800000001,1.00655797,0,0,1,0.5022724270000001,0.044875398,4.055181403,3.382135224,0.14850749415216172,0.013268363039289287,1.1990003753321248,0.161775857191451,1.3607762325235755,0.06753409222576053,0.006033815722876041,0.07356790794863656,11.192601055036883,90.3653579406694,105,21600,17.0,55.38,52.18,5.82,5.47,25.39,3.37,11.47,17.25,234.04,322.3,273.88,48.42,126.77,195.52,27.64,0,1,2,156.63,1,21,4,6,escalate_MathematicaUniformRandom_1.2,1,0,1,52.18,234.04,-1,3.0
8603,2020-12-15T14_02_27.850642+00_00_LBL_D5,ZKRCWINLLKOVCL-UHFFFAOYSA-N,1.749293939,0.815561587,1.122093016,0,0,1,0.561046508,0.407780793,0.874646969,4.471963184,0.12545865985823376,0.09118608007753223,0.195584563873279,0.216644739935766,0.4122293038090449,0.1049349946872777,0.07626903427234036,0.18120402895961804,1.3758531976762332,2.1448949632112764,105,21600,17.0,55.38,52.18,5.82,5.47,25.39,3.37,11.47,17.25,234.04,322.3,273.88,48.42,126.77,195.52,27.64,0,1,2,156.63,1,21,4,6,escalate_MathematicaUniformRandom_1.2,1,0,0,52.18,234.04,-1,1.0
8611,2020-12-15T14_02_27.850642+00_00_LBL_D6,ZKRCWINLLKOVCL-UHFFFAOYSA-N,2.221930243,0.062310715,0.22715489100000005,0,0,1,0.1138046,0.031217668,1.113187052,5.661022492000001,0.02010318810088204,0.005514492840139027,0.1966406340149902,0.02561768094102107,0.22225831495601128,0.016799686998285743,0.004608311537639085,0.021407998535924826,3.645518941389216,35.65887919622953,105,21600,17.0,55.38,52.18,5.82,5.47,25.39,3.37,11.47,17.25,234.04,322.3,273.88,48.42,126.77,195.52,27.64,0,1,2,156.63,1,21,4,6,escalate_MathematicaUniformRandom_1.2,1,0,0,52.18,234.04,-1,1.0
8580,2020-12-15T14_02_27.850642+00_00_LBL_F2,ZKRCWINLLKOVCL-UHFFFAOYSA-N,12.77514664,0.639962202,0.884852548,0,0,1,0.442426274,0.319981101,6.387573322000001,2.1169898380000003,0.20898837871511786,0.15114909635196838,3.0172904977354933,0.3601374750670862,3.3774279728025784,0.0520222221502086,0.037624636913155686,0.08964685906336428,1.382663765507826,19.96234559490437,105,21600,17.0,55.38,52.18,5.82,5.47,25.39,3.37,11.47,17.25,234.04,322.3,273.88,48.42,126.77,195.52,27.64,0,1,2,156.63,1,21,4,6,escalate_MathematicaUniformRandom_1.2,1,0,0,52.18,234.04,-1,3.0
8646,2020-12-15T14_02_27.850642+00_00_LBL_A11,ZKRCWINLLKOVCL-UHFFFAOYSA-N,3.498587877,0.199012636,1.268557486,0,0,1,0.634278743,0.099506318,1.749293939,4.191718514,0.15131711275019075,0.023738788200509404,0.4173214239356722,0.17505590095070014,0.5923773248863724,0.1067627358161338,0.016749050567930197,0.123511786384064,6.374255984429048,17.579727339524307,105,21600,17.0,55.38,52.18,5.82,5.47,25.39,3.37,11.47,17.25,234.04,322.3,273.88,48.42,126.77,195.52,27.64,0,1,2,156.63,1,21,4,6,escalate_MathematicaUniformRandom_1.2,1,0,1,52.18,234.04,-1,1.0
8593,2020-12-15T14_02_27.850642+00_00_LBL_G4,ZKRCWINLLKOVCL-UHFFFAOYSA-N,2.76198715,0.273702002,1.559480216,0,0,1,0.778180628,0.136577299,1.3782315880000002,4.0250423510000015,0.19333476772155334,0.03393189116782041,0.34241418296072984,0.2272666588893737,0.5696808418501036,0.14402020641285865,0.02527676748243432,0.16929697389529294,5.697730396615912,10.091220122899047,105,21600,17.0,55.38,52.18,5.82,5.47,25.39,3.37,11.47,17.25,234.04,322.3,273.88,48.42,126.77,195.52,27.64,0,1,2,156.63,1,21,4,6,escalate_MathematicaUniformRandom_1.2,1,0,0,52.18,234.04,-1,1.0
8579,2020-12-15T14_02_27.850642+00_00_LBL_D2,ZKRCWINLLKOVCL-UHFFFAOYSA-N,0.901151423,0.7882461270000001,1.004996147,0,0,1,0.5024980729999999,0.394123063,0.450575711,4.813325505,0.104397276369116,0.08188165595503394,0.09361006450362636,0.18627893232415,0.27988899682777635,0.09546115179225276,0.07487280760551415,0.17033395939776694,1.274977589931092,1.1432360937477033,105,21600,17.0,55.38,52.18,5.82,5.47,25.39,3.37,11.47,17.25,234.04,322.3,273.88,48.42,126.77,195.52,27.64,0,1,2,156.63,1,21,4,6,escalate_MathematicaUniformRandom_1.2,1,0,0,52.18,234.04,-1,1.0
